district,internet,Percent SLC above,gni ppp,pop density,electricity,Adult literacy,age15to34,Ecological belt,Development Region
Rasuwa,0.852068576,3.623556582,1520,28,71.46083564,41.32,30.8684,Tarai,Central
Rautahat,0.239095376,3.411132889,757,610,46.56921577,33.89,30.9254,Tarai,Central
Rolpa,0.292671773,1.61866498,643,119,21.48165085,50.74,30.7301,Hill,Mid-western
Rukum,0.169706241,3.362468655,782,72,14.77400387,50.81,32.4798,Tarai,Mid-western
Rupandehi,3.021332438,6.871878536,1123,647,80.61342204,64.39,36.3814,Hill,Western
Salyan,0.305218812,2.739601722,786,166,14.53013498,55.5,33.3149,Hill,Mid-western
Sankhuwasabha,0.780008667,2.985347293,1193,46,52.5812509,63.16,31.9789,Hill,Eastern
Saptari,0.310579528,5.13183499,801,469,41.91749818,45.44,31.5121,Tarai,Eastern
Sarlahi,0.369720564,3.289469411,809,611,46.57952004,38,31.1051,Tarai,Central
Sindhuli,0.410120951,3.128713807,822,119,37.86841374,51.08,31.4175,Hill,Central
Sindhupalchok,0.592781571,2.940256708,1110,113,88.28243416,49.51,31.4077,Hill,Central
Siraha,0.321379813,3.925765069,689,536,67.27352899,39.96,30.7229,Tarai,Eastern
Solukhumbu,0.694502904,3.425382015,1841,32,62.79148076,57.51,32.5265,Mountain,Eastern
Sunsari,1.992864141,5.698197874,1104,607,81.72221914,62.88,36.0086,Hill,Eastern
Surkhet,1.033914596,3.827208356,911,143,43.54798847,67,35.1368,Hill,Mid-western
Syangja,1.85749971,5.235035345,1215,248,86.52259789,70.37,31.652,Tarai,Western
Tanahu,1.526454283,4.016233204,1072,209,77.08913471,68.32,32.5725,Mountain,Western
Taplejung,0.468437158,2.93579997,1313,35,25.06516565,65.72,32.5284,Tarai,Eastern
Terhathum,0.73356276,3.532295697,1419,150,67.16627423,69.36,33.0213,Hill,Eastern
Udayapur,0.451032865,3.318405704,920,154,51.28694711,60.7,32.833,Hill,Eastern
